iter	MultiClass
122	0.5703589434
123	0.5693250161
124	0.5682683634
125	0.5672634514
126	0.5661983407
127	0.5653146198
128	0.5645792541
129	0.5632381263
130	0.56223790131131	0.5614115013132	0.560411112133	0.5378631024
134	0.5367254753
135	0.5357864854
136	0.5344566358
137	0.5333703072
138	0.5326152984
139	0.5317629043
140	0.5307820633
141	0.5299622003
142	0.528746156
143	0.5278855346
144	0.5265167421
145	0.5254453364
146	0.5247582969
147147	0.54615658148	0.5230852433
149149	0.54452806150	0.5214120159
151	0.5207290331
152	0.5198826184
153	0.5191009125
154	0.5181163085
155	0.5173688721
156	0.5165503161
157	0.5158875934
158	0.5149649892
159	0.5140909841
160	0.5132555513
161	0.5123868976
162	0.5112506794
163	0.5105183804
164	0.5097600345
165	0.5090019111
166	0.5081018387
167	0.507272227
168	0.5066171097
169	0.5059198652
170	0.5051887193
171	0.5045926697
172	0.5034474924
173	0.5028036761
174	0.5022015346
175	0.5013057394
176	0.5006348955
177	0.4999420966
178	0.4991316198
179	0.4982454219
180	0.4976135178
181	0.49671403
182	0.4959637924
183	0.4953159948
184	0.4945918335
185	0.4939313363
186	0.4935098443
187	0.4929001585
188	0.492131766
189	0.4915200939
190	0.4910593849
191	0.4902508994
192	0.4895469909
193	0.4889713176
194	0.4881649437
195	0.4873793517
196	0.4867403055
197	0.4859248837
198	0.4851172409
199	0.4844078188
200	0.4839441584
201	0.4832184299
202	0.4825248706
203	0.4817189439
204	0.4811602512
205	0.4802652786
206	0.4796643947
207	0.4791033199
208	0.4781827298
209	0.4773478074
210	0.4763904866
211	0.4755469656
212	0.4745878761
213	0.474085335
214	0.4732325294
215	0.4725442056
216	0.4716452403
217	0.4710038947
218	0.4702629221
219	0.4697794951
220	0.4690011234
221	0.4682369913
222	0.4675014267
223	0.466963497
224	0.4662806519
225	0.4655685133
226	0.4648991276
227	0.464127314
228	0.4635101766
229	0.4628011026
230	0.4619674554
231	0.4613557472
232	0.4605613147
233	0.4601620564
234	0.4596645432
235	0.4590343624
236	0.4584739261
237	0.4578277358
238	0.4571542703
239	0.4562724383
240	0.4557062138
241	0.455027525
242	0.4543323739
243	0.4536861148
244	0.4530891555
245	0.4523708891
246	0.451712693
247	0.4509217922
248	0.4503398105
249	0.4497536602
250	0.4491593544
251	0.4483685988
252	0.4477306799
253	0.4471508999
254	0.4467458278
255	0.4462311867
256	0.4457076322
257	0.4453181773
258	0.4446573652
259	0.444174004
260	0.4437752907
261	0.4431997743
262	0.4427227256
263	0.4421984416
264	0.4416546705
265	0.4410286425
266	0.4405976871
267	0.4400648785
268	0.4395661358
269	0.4388679897
270	0.4381662649
271	0.4375783209
272	0.4370100692
273	0.4365563263
274	0.4360678052
275	0.4353939931
276	0.4348882457
277	0.4345861246
278	0.43390299522279	0.43340249128280	0.43304832728281	0.43255417428282	0.43199478328283	0.43156108928284	0.4310963764
285	0.43058295628286	0.4298893432287	0.4293572941
288	0.428779531
289	0.4281364557
290	0.427482633
291	0.4269370003
292	0.426381745
293	0.4257794299
294	0.4253699885
295	0.4247992035
29296	0.44897554229297	0.4482977761
298	0.4477910585
299	0.4471398397
300	0.4466712928
301	0.4461760513
302	0.4455718541
303	0.445116111
304	0.44474027943305	0.44433775263306	0.4438562428307	0.4185410025
308	0.4430121666
309	0.4424480639
310	0.4419655452
311	0.4167054816
312	0.4410415724
313	0.440439317
314	0.4399300008
315	0.4396298077
316	0.4390576297
317	0.4385069991
318	0.4380886261
319	0.4374956959
320	0.4370118875
321	0.4364016529
322	0.4359327372
323	0.4352066923
324	0.4345624051
325	0.4341636849
326	0.4337563154
327	0.43320985
328	0.4324997523
329	0.431762745
330	0.4312269124
331	0.4308375496
332	0.4301491041
333	0.4296184093
334	0.4292252527
335	0.4286750828
336	0.4280603989
337	0.4275687312
338	0.4271027406
339	0.4268125174
340	0.4263986538
341	0.4258688632
342	0.4253865138
343	0.4249557164
344	0.4246134072
345	0.424077138
34346	0.3993595
3347	0.4233133254348	0.3987213168
349	0.3981695418
350	0.3975580543
351	0.3971460203
352	0.3967009967
353	0.3960473306
354	0.3955791607
355	0.3950669168
356	0.3946543356
357	0.39425008535358	0.3938385143359	0.39321691633360	0.39286461113361	0.3924719618362	0.4164977841
363	0.4161060379
364	0.4153446008
3365	0.3908195886366	0.4146354133
367	0.4142735648
3368	0.38971379063369	0.3893940754
370	0.38906870493371	0.38863622593372	0.38831921073373	0.38787989853374	0.38762079573375	0.3872140058
376	0.3869743774
377	0.38660502
378	0.3863622114
379	0.386034903
380	0.3858115934
381	0.3852411016
3382	0.40732514413383	0.4066844556
384	0.4063000601
385	0.4056281939
386	0.4052282069
387	0.4048994544
388	0.4042391118
389	0.4038915752
390	0.4035829267
391	0.4032053825
392	0.4027431882
393	0.402380011
394	0.4020405519
395	0.40169539
396	0.4012260056
397	0.4009372901
398	0.4005471646
399	0.4001737455
400	0.399861232
401	0.3992922264
402	0.3987858895
403	0.3983507057
404	0.3978917583
405	0.3974751412
406	0.3969879421
407	0.396444331
408	0.3961178773
409	0.3958071781
410	0.3954910252
411	0.3950653003
412	0.394452648
413	0.3941341197
414	0.3936555541
415	0.3932512587
416	0.3926615973
417	0.3922664547
418	0.3919519343
419	0.3915587614
420	0.3912674282
421	0.39099208994422	0.390769327
423	0.3901569995
424	0.3898040631
425	0.3894604551
426	0.3680532787
427	0.36764217634428	0.3673027379
429	0.3669006158
430	0.3665412448
431	0.3660398017
432	0.3657807462
433	0.3653149341
434	0.3650199364
435	0.3646764699
436	0.364330051
437	0.3637830982
438	0.3634019914
439	0.3631108853
440	0.3627436505
441	0.3622850622
442	0.3617674303
443	0.3613565665
444	0.3610243025
445	0.3606621187
446	0.3603396451
447	0.3601560593
448	0.359847542
449	0.3595416892
450	0.3592306343
451	0.3589009817
452	0.3584730258
453	0.358031837
454	0.3577351432
455	0.3572924044
456	0.3570313972
457	0.3565569443
458	0.3562528031
459	0.3557689612
460	0.3555278014
461	0.3550040175
462	0.3547839828
463	0.3543327575
464	0.3540057591
465	0.3536396447
466	0.3532422767
467	0.3529797189
468	0.3525577384
469	0.3520222216
470	0.351709035
471	0.3514304657
472	0.3512281702
473	0.3508398638
474	0.3504443505
475	0.3500847563
476	0.3497932194
477	0.3494505352
478	0.3490942939
479	0.3487331853
480	0.3483156118
481	0.3479991014
482	0.3475497415
483	0.3471866818
484	0.3468572633
485	0.3466374703
486	0.3464220968
487	0.346075764
488	0.345865034
489	0.3455188762
490	0.3452252321
491	0.3449555754
492	0.3446509444
493	0.3442142103
494	0.343852649
495	0.3434586941
496	0.3430344045
497	0.3427656235
498	0.3424666888
499	0.3421895269
7479
